#CODE;ENGLISH;;;;;;;;;x 
temple_baron_west_african_pagan;Priest;;;;;;;;;x 
temple_baron_west_african_pagan_reformed;Priest;;;;;;;;;x 
temple_baron_female_west_african_pagan;Priestess;;;;;;;;;x 
temple_baron_female_west_african_pagan_reformed;Priestess;;;;;;;;;x 
MATCHMAKING_REFRESH_LAN_STOP;Stop Refreshing;;;;;;;;;x 
VS_REL_ENEMY;Damage Against Religious Enemies;;;;;;;;;x 
EXILE_IMPRISONED_INTERACTION_3;The banishment will cost you §R$PIETY$§! $PIETYNAME$.;;;;;;;;;x 
S_TRO;ST;;;;;;;;;x 
defenderbonus_jungle;Jungle;;;;;;;;;x 
HAS_AUTOCEPHALY;Has Autocephaly;;;;;;;;;x 
HAS_NOT_AUTOCEPHALY;Does NOT have Autocephaly;;;;;;;;;x 
