#CODE;ENGLISH;;;;;;;;;x 
EVTDESC61152;Your wretch of a former regent that saw you imprisoned on charges of insanity no longer wields any influence at court. The new regent has released you.;;;;;;;;;x 
EVTOPTA61152;Not a moment too soon.;;;;;;;;;x 
EVTOPTB61152;Watch out, world! Here I come!;;;;;;;;;x 
EVTDESC61219;You have successfully thwarted your opponent's designs on your regency, and can continue to serve at the pleasure of [Root.Liege.GetTitledFirstName].;;;;;;;;;x 
EVTDESC61245;Like the spineless coward [From.GetSheHe] is, [From.GetTitledFirstName] has refused to rise to your challenge!;;;;;;;;;x 
EVTOPTA61245;Milksop! Worm!;;;;;;;;;x 
EVTDESC61246;In a desperate effort to save [From.GetHerHis] skin, [From.GetTitledFirstName] has decided to abdicate the position of regent to you.;;;;;;;;;x 
EVTOPTA61246;Well, that was easy.;;;;;;;;;x 
EVTDESC61226;The blood of your opponent seeps into the ground as you lean on your sword to catch your breath. It was a brief and violent struggle, but the poor fool lies maimed at your feet, clinging pitifully to life. The day is yours.;;;;;;;;;x 
EVTDESC61225;The blood of your opponent seeps into the ground as you lean on your sword to catch your breath. It was a brief and violent struggle, but the poor fool lies dead at your feet.;;;;;;;;;x 
EVTDESC61212;"[Root.Regent.GetFirstName] stabs wildly in the air with [Root.Regent.GetHerHis] dagger, missing you by a hair's breadth as you leap away in panic. Guards rush inside and pull your regent away as [Root.Regent.GetSheHe] screams, ""Why won't you die?!""";;;;;;;;;x 
EVTTOOLTIP61213;Thrown into a dark cell.;;;;;;;;;x 
YEARLY_INCOME_LESS_THAN;Yearly income less than ;;;;;;;;;x 
YEARLY_INCOME_GREATER_THAN;Yearly income greater than ;;;;;;;;;x 
DE_JURE_LIEGE_CHANGED_NONE_SETUP;Landed title changes de jure liege;;;;;;;;;x 
DE_JURE_LIEGE_CHANGED_NONE_LOG;After §Y$YEARS$§! years under the §Y$NEW_LIEGE$§!, the §Y$TITLE$§! is now considered part of it.;;;;;;;;;x 
TITLE_CANNOT_USURP_REL_HEADS;Cannot usurp religious head titles;;;;;;;;;x 
INTERACTION_REQUIRES_NOT_IN_REVOLT;[Actor.GetBestName] is not in revolt;;;;;;;;;x 
INTERACTION_REQUIRES_TP_IS_NOT_LIEGE;[Actor.GetBestName] is not a vassal of [ThirdPartyCharacter.GetBestName];;;;;;;;;x 
BROKEN_SAVEGAME;§RBROKEN SAVEGAME§!;;;;;;;;;x 
