#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Vanilla Provinces
PROV673;Hereti;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
PROV679;Shida Kartli;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
PROV683;Arzan;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
PROV704;Sper;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
#New Provinces
PROV1464;Lekia;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
PROV1465;Sarir;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
PROV1466;Klarjeti;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
PROV1467;Kvemo Kartli;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
PROV1468;Karbala;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
PROV1469;Barda'a;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
PROV1470;Khachen;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
PROV1471;Amida;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
#New Sea Provinces
PROV1446;Lake Van;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
#Unused Provinces
PROV1443;#;No Localisation;No Localisation;;No Localisation;;;;;;;;;x
