#CODE;ENGLISH;;;;;;;;;x 
khagan_overthrow_execution_warning_tooltip;You surrender and submit yourself to the mercy of [From.GetTitledName]. [From.GetSheHeCap] may or may not spare your life...\n;;;;;;;;;x 
RETRACT_VASSAL_INTERACTION_2F;Our §Y$GOVERNMENT$§! government allows us to retract vassals without objections from other vassals.;;;;;;;;;x 
REL_RETIRE_DESC;Rulers can order adult unlanded courtiers to take the vows;;;;;;;;;x 
merchant_republic_government_desc;Playing as a Patrician within a Merchant Republic is not entirely dissimilar from playing a Feudal lord - you are still after more Holdings, and you need an heir of your family. However, leadership of the Republic changes between the five major Patrician families through special elections. Patricians can also build a network of Trade Posts, even in the counties of other powers...;;;;;;;;;x 
GOV_CAN_BUILD_DESC;Can build $HOLDINGS_LIST$ Holdings;;;;;;;;;x 
GOV_CANNOT_BUILD_DESC;Cannot build Holdings;;;;;;;;;x 
GOV_CAN_NOT_IMPRISON_DESC;Cannot imprison subjects without special reasons;;;;;;;;;x 
pagan_group_FEATURES;§Y*§! Inferior at conversion and vulnerable to non-pagan missionaries\n§Y*§! Rulers cannot declare Holy Wars\n§Y*§! Women may hold Spymaster positions;;;;;;;;;x 
GOV_ALLOW_REVOKATION_DESC;Vassal titles be revoked without needing any special laws;;;;;;;;;x 
GOV_CAN_NOT_REVOKE_DESC;Cannot revoke titles without special reasons;;;;;;;;;x 
GOV_CAN_HOLD_DESC;Can hold $HOLDINGS_LIST$ Holdings without penalties;;;;;;;;;x 
GOV_CAN_HOLD_CULTURE_DESC;Can hold $HOLDINGS_LIST$ Holdings without penalties for provinces with your culture;;;;;;;;;x 
GOV_CAN_HOLD_RELIGION_DESC;Can hold $HOLDINGS_LIST$ Holdings without penalties for provinces with your religion;;;;;;;;;x 
GOV_CAN_HOLD_CULTURE_RELIGION_DESC;Can hold $HOLDINGS_LIST$ Holdings without penalties for provinces with your culture and religion;;;;;;;;;x 
GOV_ADDITIONAL_COMMANDERS_DESC;Have $NUM$ additional Commanders;;;;;;;;;x 
GOV_FEWER_COMMANDERS_DESC;Have $NUM$ fewer Commanders;;;;;;;;;x 
GOV_MOVE_CAPITAL_DELAY_DESC;Can move capital within the same lifetime every $NUM$ months;;;;;;;;;x 
