#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
khitan;Khitan;Khitans;Kitan;;Kitán;;;;;;;;;x
k_khitan;Kara Khitan;Kara Khitans;Kara Kitai;;Kara-Kitai;;;;;;;;;x
k_khitan_adj;Kara Khitan;Kara Khitans;Kara Kitai;;Kara-Kitai;;;;;;;;;x
city_baron_khitan;Xianling;;;;;;;;;;;;;x
baron_khitan;Xianling;;;;;;;;;;;;;x
barony_of_khitan;Xian of;;;;;;;;;;;;;x
count_khitan;Jiedushi;;;;;;;;;;;;;x
city_count_khitan;Cishi;;;;;;;;;;;;;x
count_female_khitan;Iilm;;;;;;;;;;;;;x
county_of_khitan;Zhou of;;;;;;;;;;;;;x
duke_khitan;Irkin;;;;;;;;;;;;;x
duke_female_khitan;Iilm;;;;;;;;;;;;;x
duchy_of_khitan;Tribe of;;;;;;;;;;;;;x
king_khitan;Khan;;;;;;;;;;;;;x
king_female_khitan;Khatun;;;;;;;;;;;;;x
kingdom_of_khitan;Gur of;;;;;;;;;;;;;x
emperor_khitan;Gurkhan;;;;;;;;;;;;;x
emperor_female_khitan;Khatun;;;;;;;;;;;;;x
empire_of_khitan;Gur of;;;;;;;;;;;;;x
k_liao;Liao;Liao;Liao;;Liao;;;;;;;;;x,,
k_liao_adj;Liao;Liao;Liao;;Liao;;;;;;;;;x,,
job_chancellor_khitan;Tegin;;;;;;;;;;;;;x
job_marshal_khitan;Sangun;Sangun;Sangun;;Sangun;;;;;;;;;x
job_treasurer_khitan;Tarqan;Tarqan;Tarqan;;Tarqan;;;;;;;;;x
job_spymaster_khitan;Ilitbir;;;;;;;;;;;;;x
job_spiritual_khitan;irilimga;irilimga;irilimga;;irilimga;;;;;;;;;x
