#CODE;ENGLISH;;;;;;;;;x 
EVTDESC6350;As I was lying in my bed at night I was suddenly woken by the hissing and growling of my favorite cat. The bedchamber was alive with scratching, scurrying noises, coming from the very walls themselves. I sprang from the bed, but the noises suddenly disappeared and a subsquent investigation of the chamber revealed nothing but patched stone walls.;;;;;;;;;x 
EVTOPTA6350;Could there be rats in the walls?;;;;;;;;;x 
EVTOPTB6350;Just a dream, nothing more;;;;;;;;;x 
EVTDESC6351;The servant I had sent to fetch water never returned and when I went to investigate I noticed a strange light emanating from the well. I peered inside and saw a color like no color I had ever seen before. It was like smoke, cold and wet but burning my skin where it touched.;;;;;;;;;x 
EVTOPTA6351;That color is not from this earth!;;;;;;;;;x 
EVTOPTB6351;The well must have gone bad;;;;;;;;;x 
EVTDESC6352;I had repeatedly questioned my servant about the locked mausoleum beneath the castle but it wasn't until today that I found the key, hidden inside a rotting chest in the oldest castle tower. Inside the tomb's dusty passageways I found an empty stone coffin which bore the inscription '[Root.GetFirstName] [Root.GetOnlyDynastyName]'.;;;;;;;;;x 
EVTOPTA6352;This coffin looks comfortable to sleep in;;;;;;;;;x 
EVTOPTB6352;Well, that was morbid... seal the tomb!;;;;;;;;;x 
EVTDESC6353;An old cottar and his wife who were known for their cruelty to cats were found dead in their home this morning, their bones picked clean of meat. My steward tells me that the local townspeople had their cats go missing the day before, but all the missing cats returned today looking fat and happy...;;;;;;;;;x 
EVTOPTA6353;Pass a law banning the killing of cats;;;;;;;;;x 
EVTOPTB6353;A coincidence, nothing more;;;;;;;;;x 
EVTTOOLTIP6354;Somewhere, a dreamer stirs...;;;;;;;;;x 
EVTDESC6354;Since the incident some weeks ago I have felt uneasy. I took a walk along the coast to clear my mind and found a small village where the people claimed to worship the 'Old Ones', Gods older than even those of the [Root.Religion.GetName] faith. They invited me to join in their rituals and showed me a dusty old grimoire written by a mad Saracen.;;;;;;;;;x 
EVTOPTA6354;I must study this grimoire;;;;;;;;;x 
EVTTOOLTIP6355;[Root.GetBestName] learns the forbidden secrets;;;;;;;;;x 
EVTDESC6355;Intense study of the grimoire has gained me much knowledge. I have devised a ritual to awaken the most powerful of the Old Ones where he sleeps, dead but dreaming, in his watery tomb beneath the ocean. The cult has prepared the ritual attire and is gathering the necessary sacrifices.;;;;;;;;;x 
EVTOPTA6355;Tonight, he will wake!;;;;;;;;;x 
EVTTOOLTIP6356;[Root.GetBestName] puts on a black robe and wizened old hat;;;;;;;;;x 
EVTDESC6356;The cult has gathered for the ritual on the shore of a black and stormy sea. The chanting begins, Ph'nglui mglw'nafh..., and in the depths of the dark waters something stirs...;;;;;;;;;x 
EVTOPTA6356;He comes! HE COMES!;;;;;;;;;x 
EVTOPTB6356;What have I done?! I must stop this!;;;;;;;;;x 
EVTTOOLTIP6357;[Root.GetBestName] commandeers a longboat;;;;;;;;;x 
EVTDESC6357;I steered the longboat through the raging waters towards the monstrous creature. It stood as tall as a castle tower, with the body of a man and the head of a great tentacled beast. I knew that I had awoken it from where it slept beneath the waves and that it was here to end the age of man. There was only one thing I could do...;;;;;;;;;x 
EVTOPTA6357;Ramming speed!;;;;;;;;;x 
