#CODE;ENGLISH;;;;;;;;;x 
EVTDESC_WOL_431;Arm in arm, [FromFrom.GetFirstName] and I wandered off to a nearby stream. We have laughed and shared confidences for an hour at least. This is the moment of truth... Is [FromFrom.GetSubjectPronoun] ready to fall for another [FromFrom.GetManWoman]? I lean in to whisper in [FromFrom.GetPossPronoun] ear...;;;;;;;;;x 
EVTDESC_WOL_431_CR;Arm in arm, [FromFrom.GetFirstName] and I wandered off to a nearby stream. We have laughed and shared confidences for hours. In a companionable moment of silence, I decide to reveal the most terrible secret of all - my true feelings for [FromFrom.GetObjectPronoun]. I lean in to whisper in [FromFrom.GetPossPronoun] ear...;;;;;;;;;x 
EVTDESC_WOL_1003_SPY_RESULT;One of the servant boys I had shadowing [target_spy_on.GetFirstName] stutters his words as he reports, whitefaced, what he saw my [GetFromFromRelation] doing with [From.GetTitledName] in one of the guest rooms! The boy was hiding behind a tapestry the whole time...;;;;;;;;;x 
student_of_strategy;Student of Strategy;;;;;;;;;x 
student_of_strategy_desc;This character is dedicated to studying the military wisdom of history's great commanders.;;;;;;;;;x 
adept_of_strategy;Adept of Strategy;;;;;;;;;x 
adept_of_strategy_desc;This character has spent time studying the military wisdom of history's great commanders.;;;;;;;;;x 
EVTDESC94018_india;History is a subject that has always fascinated you, and you have spent the last few weeks studying the campaigns of Ashoka the Great. There are many lessons to be learned from his conquests.;;;;;;;;;x 
EVTOPTB_94018;Perhaps I, too, could achieve such greatness.;;;;;;;;;x 
EVTOPTC_94018;I should devote more time to studying this...;;;;;;;;;x 
studying_strategy_tooltip;[Root.GetTitledName] studies military strategy.;;;;;;;;;x 
EVTDESC_94019;After many months studying the campaigns of Alexander the Great you have acquired many fascinating insights and gained new wisdom in military matters. You realize that the Art of War might be well worth studying.;;;;;;;;;x 
EVTDESC_94019_india;After spending many months studying the campaigns of Ashoka the Great you have gained some fascinating insights and acquired new wisdom in military matters. You realize that the Art of War might be well worth studying.;;;;;;;;;x 
EVTOPTA_94019;I shall be a master of strategy.;;;;;;;;;x 
EVTOPTB_94019;There are other things in life as well.;;;;;;;;;x 
